time,user,system,usage
20190111-12:00:01,6.30,2.03,9.21
20190111-12:20:01,5.95,1.99,8.31
20190111-12:30:01,6.22,2.03,8.6
20190111-12:40:01,6.21,2.05,8.65
20190111-12:50:01,6.17,2.00,8.54
20190111-01:00:01,6.15,2.01,8.51
20190111-01:10:01,6.22,2.03,8.72
20190111-01:20:01,6.19,2.03,8.62
20190111-01:30:01,6.15,2.03,8.64
20190111-01:40:01,6.21,2.03,8.72
20190111-01:50:01,6.20,2.02,8.69
20190111-02:00:01,6.29,2.04,8.87
20190111-02:10:01,6.19,2.04,8.73
20190111-02:20:01,6.19,2.06,8.82
20190111-02:30:01,6.18,2.02,8.71
20190111-02:40:01,6.18,2.01,8.59
